Genus,Family,Biomass Constant A,Biomass Constant B,Biomass Constant C
Leiostomus,Sciaenidae,0.00921,3.072,1
Leiognathus,Leiognathidae,0.019754,3.002415,1
Latropiscis,Aulopidae,0.00437,3.13,1
Latridopsis,Latridae,0.01202,3.04,1
Larimus,Sciaenidae,0.009482,3.076804,1
Larabicus,Labridae,0.00977,3.05,1
Lagodon,Sparidae,0.01113,3.090173,1
Lagocephalus,Tetraodontidae,0.013994,3.078304,1
Lactoria,Ostraciidae,0.02623,2.87415,1
Lactophrys,Ostraciidae,0.22409,2.365,1
Lachnolaimus,Labridae,0.01941,2.95,1
Labropsis,Labridae,0.00977,3.05,1
Labroides,Labridae,0.00491,3.146473,1
Labrisomus,Labrisomidae,0.01006,3.163667,0.951567
Labrichthys,Labridae,0.01503,3,1
Labracinus,Pseudochromidae,0.01995,3.01,1
Kyphosus,Kyphosidae,0.018742,3.039305,0.973375
Kuhlia,Kuhliidae,0.022403,3.06829,0.971638
Kryptophaneron,Anomalopidae,0.01122,3.04,1
Kryptolebias,Rivulidae,0.00479,3.14,1
Koumansetta,Gobiidae,0.00617,3.08,1
Johnrandallia,Chaetodontidae,0.021,3.215,1
Jenkinsia,Clupeidae,0.003395,3.36405,1
Jaydia,Apogonidae,0.01161,3.4483,1
Istiophorus,Istiophoridae,0.00585,2.99,1
Istigobius,Gobiidae,0.014508,2.94534,1
Istiblennius,Blenniidae,0.00741,3,1
Isogomphodon,Carcharhinidae,0.00457,3.11,1
Inimicus,Synanceiidae,0.015532,2.975742,1
Iniistius,Labridae,0.010355,3.0325,1
Idiotropiscis,Syngnathidae,0.00049,3.1,1
Hypsypops,Pomacentridae,0.02239,2.99,1
Hypsoblennius,Blenniidae,0.00741,3,1
Hyporthodus,Serranidae,0.01336,3.124,1
Hyporhamphus,Hemiramphidae,0.001919,3.439336,0.984
Hypoplectrus,Serranidae,0.015532,3.0492,1
Hypoplectrodes,Serranidae,0.00933,2.97,1
Hypoatherina,Atherinidae,0.00562,3.12,1
Hypleurochilus,Blenniidae,0.00835,3.003333,1
Hypanus,Holocentridae,0.0739,2.81,1
Hypanus,Dasyatidae,0.039567,3.023333,1
Hoplopagrus,Lutjanidae,0.0228,3,1
Hoplolatilus,Malacanthidae,0.00537,3.03,1
Hologymnosus,Labridae,0.0049,3.11,1
Holocentrus,Holocentridae,0.022158,2.709628,1
Holacanthus,Pomacanthidae,0.032633,2.920167,1
Histrio,Antennariidae,0.01995,3.01,1
Hipposcarus,Scaridae,0.0161,3.05,1
Hippocampus,Syngnathidae,0.00427,3,1
Hexanchus,Hexanchidae,0.0135,2.8015,1
Heteroscarus,Odacidae,0.00692,3.08,1
Heteropriacanthus,Priacanthidae,0.02793,2.82313,1
Heterodontus,Heterodontidae,0.00389,3.12,1
Heteroconger,Congridae,0.00102,3.06,1
Heteroclinus,Clinidae,0.01675,2.77476,1
Herklotsichthys,Clupeidae,0.006322,3.140701,1
Heniochus,Chaetodontidae,0.021159,3.083247,1
Hemitaurichthys,Chaetodontidae,0.02188,3.02,1
Hemiramphus,Hemiramphidae,0.096157,2.697,1
Hemigymnus,Labridae,0.02423,2.92262,1
Hemiglyphidodon,Pomacentridae,0.002239,2.99,1
Hemiemblemaria,Chaenopsidae,0.00457,3.08,1
Hemicaranx,Carangidae,0.01923,2.93,1
Helcogramma,Tripterygiidae,0.0055,3.08,1
Harengula,Clupeidae,0.007399,3.18173,1
Haliophis,Pseudochromidae,0.00102,3.06,1
Halichoeres,Labridae,0.009374,3.074489,1
Haemulon,Haemulidae,0.025767,2.932135,0.993158
Gymnura,Gymnuridae,0.0036,3.21,1
Gymnothorax,Muraenidae,0.001249,3.13059,1
Gymnosarda,Scombridae,0.00788,3.065,1
Gymnomuraena,Muraenidae,0.00112,3.07,1
Gymnocranius,Lethrinidae,0.025904,2.937519,0.956621
Gymnocaesio,Caesioinidae,0.01122,3.04,1
Gunnellichthys,Microdesmidae,0.00389,3.12,1
Gunnelichthys,Microdesmidae,0.00389,3.12,1
Guavina,Eleotridae,0.01047,3.06,1
Grammistops,Serranidae,0.00407,3.14,1
Grammistes,Serranidae,0.00407,3.14,1
Grammatorcynus,Scombridae,0.00647,3,1
Grammatobothus,Bothidae,0.01351,2.935305,1
Gramma,Grammatidae,0.00389,3.12,1
Gracila,Serranidae,0.01148,3.05,1
Gomphosus,Labridae,0.01838,2.70269,1
Gobiomorus,Eleotridae,0.0103,3,1
Gobiodon,Gobiidae,0.026242,2.914862,1
Gobioclinus,Labrisomidae,0.004872,3.0825,1
Gnatholepis,Gobiidae,0.009217,3.106667,1
Gnathodentex,Lethrinidae,0.014262,3.024904,1
Gnathanodon,Carangidae,0.016908,2.926345,1
Glaucosoma,Glaucosomatidae,0.01479,2.98,1
Girella,Kyphosidae,0.015258,3.0524,1
Ginsburgellus,Gobiidae,0.00871,3.09,1
Ginglymostoma,Ginglymostomatidae,0.0106,2.892,1
Gillellus,Dactyloscopidae,0.006945,3.0805,1
Giganthias,Serranidae,0.00933,2.97,1
Gerres,Gerreidae,0.015036,3.017856,0.967926
Genyatremus,Haemulidae,0.019919,2.988552,1
Genicanthus,Pomacanthidae,0.0302,2.89,1
Gazza,Leiognathidae,0.031689,2.897423,1
Galeocerdo,Carcharhinidae,0.00129,3.251442,1
Fusigobius,Gobiidae,0.00891,3.07,1
Fowlerichthys,Antennariidae,0.01995,3.01,1
Fowleria,Apogonidae,0.018087,3.371205,1
Forcipiger,Chaetodontidae,0.02362,3.033667,1
Floridichthys,Cyprinodontidae,0.01072,3.22,1
Fistularia,Fistulariidae,0.005592,2.770557,1
Fibramia,Apogonidae,0.016757,3.006059,1
Exyrias,Gobiidae,0.01296,2.88208,1
Exallias,Blenniidae,0.01995,3.01,1
Eviota,Gobiidae,0.00617,3.08,1
Euthynnus,Scombridae,0.0255,2.854,0.977902
Eupetrichthys,Labridae,0.01,3.04,1
Eugerres,Gerreidae,0.023524,2.93,1
Eucrossorhinus,Orectolobidae,0.00389,3.12,1
Eucinostomus,Gerreidae,0.015638,3.060686,0.978833
Eubleekeria,Leiognathidae,0.023679,2.891117,1
Eubalichthys,Monocanthidae,0.02188,2.91,1
Etropus,Paralichthyidae,0.006528,3.21245,1
Etelis,Lutjanidae,0.022562,2.815867,1
Erotelis,Eleotridae,0.01047,3.06,1
Equulites,Leiognathidae,0.017557,3.160076,0.975
Equetus,Sciaenidae,0.005,3.457,1
Epinephelus,Serranidae,0.015452,3.010854,1
Epinephelides,Serranidae,0.00933,2.97,1
Epibulus,Labridae,0.00897,3.10051,1
Entromacrodus,Blenniidae,0.00741,3,1
Enoplosus,Enoplosidae,0.00389,3.12,1
Enneapterygius,Tripterygiidae,0.0055,3.08,1
Enneanectes,Tripterygiidae,0.005766,3.1034,1
Engyprosopon,Bothidae,0.019024,2.840826,1
Engraulis,Engraulidae,0.00457,3.12,1
Enchelynassa,Muraenidae,0.00112,3.07,1
Enchelycore,Muraenidae,0.00138,3.0625,1
Emmelichthyops,Haemulidae,0.00389,3.12,1
Emblemariopsis,Chaenopsidae,0.00457,3.08,1
Emblemaria,Chaenopsidae,0.00457,3.08,1
Elops,Elopidae,0.007125,3.046077,1
Ellochelon,Mugilidae,0.01023,3.03,1
Eleotris,Eleotridae,0.00818,3.11,1
Eleotrica,Gobiidae,0.00617,3.08,1
Elagatis,Carangidae,0.0845,2.556,0.711
Elacatinus,Gobiidae,0.00793,3.083091,1
Ekemblemaria,Chaenopsidae,0.00457,3.08,1
Ecsenius,Blenniidae,0.00891,2.961088,1
Echidna,Muraenidae,0.0007,3.086667,1
Echeneis,Echeneidae,0.001796,3.242444,1
Dunckerocampus,Syngnathidae,0.00049,3.1,1
Dotalabrus,Labridae,0.01,3.04,1
Doryrhamphus,Syngnathidae,0.00122,3.139,1
Dorosoma,Clupeidae,0.016814,2.790434,1
Dormitator,Eleotridae,0.01047,3.06,1
Doratonotus,Labridae,0.01122,3.03,1
Dischistodus,Pomacentridae,0.01479,2.98,1
Dipterygonotus,Caesioinidae,0.01122,3.04,1
Diproctacanthus,Labridae,0.00955,3.05,1
Diploprion,Serranidae,0.00886,3.2775,1
Diplogrammus,Callionymidae,0.00771,2.82,1
Diplodus,Sparidae,0.013458,3.03,1
Diplobatis,Narcinidae,0.01047,2.87,1
Diplectrum,Serranidae,0.006816,3.188666,1
Diodon,Diodontidae,0.093874,2.728719,1
Dinolestes,Dinolestidae,0.00389,3.12,1
Dicotylichthys,Diodontidae,0.0309,2.89,1
Diapterus,Gerreidae,0.011327,3.066624,1
Diagramma,Haemulidae,0.014134,2.998377,1
Diademichthys,Gobiesocidae,0.0055,3.11,1
Dermatolepis,Serranidae,0.008153,3.217,1
Dendrochirus,Scorpaenidae,0.011409,3.149733,1
Decodon,Labridae,0.009847,3.05,1
Decapterus,Carangidae,0.013469,3.040806,0.969714
Dasyatis,Dasyatidae,0.00776,3.02,1
Dascyllus,Pomacentridae,0.027509,2.955224,1
Dactylopterus,Dactyloscopidae,0.008245,3.035,1
Dactyloptena,Dactylopteridae,0.03128,3,0.75
Dactylophora,Cheilodactylidae,0.00389,3.12,1
Cypho,Pseudochromidae,0.013257,3.006538,1
Cynoscion,Sciaenidae,0.010352,3.030689,1
Cynoponticus,Muraenesocidae,0.0009,2.74,1
Cymolutes,Labridae,0.008127,3.063333,1
Cymbacephalus,Platycephalidae,0.00407,3.20777,1
Cyclichthys,Diodontidae,0.0309,2.89,1
Ctenogobius,Gobiidae,0.00704,3.018397,1
Ctenogobiops,Gobiidae,0.00617,3.08,1
Ctenochaetus,Acanthuridae,0.023674,3.000228,1
Cryptotomus,Scaridae,0.0078,3.2752,1
Cryptocentrus,Gobiidae,0.00617,3.08,1
Crossosalarias,Blenniidae,0.00741,3,1
Cromileptes,Serranidae,0.09619,2.48928,1
Crocodilichthys,Tripterygiidae,0.00851,2.86,1
Crenimugil,Mugilidae,0.023586,2.902173,0.906667
Cratinus,Serranidae,0.01906,3.06,1
Corythoichthys,Syngnathidae,0.00049,3.1,1
Coryphopterus,Gobiidae,0.010197,3.08974,1
Coryphaena,Coryphaenidae,0.011076,2.802374,1
Corvula,Sciaenidae,0.009205,3.115,1
Coris,Labridae,0.009203,3.084026,1
Coradion,Chaetodontidae,0.02188,3.02,1
Conodon,Haemulidae,0.012636,3.116907,1
Conniella,Labridae,0.00447,3.14,1
Conger,Congridae,0.000577,3.20227,1
Colomesus,Tetraodontidae,0.043558,2.71483,1
Cociella,Platycephalidae,0.00412,3.205,1
Clepticus,Labridae,0.01,3.05,1
Citharichthys,Paralichthyidae,0.007965,3.085532,1
Cirripectes,Blenniidae,0.009348,3.003673,1
Cirrhitus,Cirrhitidae,0.01585,3.01,1
Cirrhitops,Cirrhitidae,0.01585,3.01,1
Cirrhitichthys,Cirrhitidae,0.01385,3.140982,1
Cirrhilabrus,Labridae,0.016603,2.955,1
Chrysiptera,Pomacentridae,0.015722,2.985558,1
Chromis,Pomacentridae,0.018393,2.984723,1
Choeroichthys,Syngnathidae,0.00049,3.1,1
Choerodon,Labridae,0.014309,3.048381,0.990905
Chlorurus,Scaridae,0.018057,3.035175,0.994315
Chloroscombrus,Carangidae,0.022435,2.716774,1
Chironemus,Chironemidae,0.00801,3.115,1
Chirocentrus,Chirocentridae,0.010812,2.820307,1
Chilorhinus,Chlopsidae,0.00102,3.06,1
Chilomycterus,Diodontidae,0.029075,2.9485,1
Chelmonops,Chaetodontidae,0.02188,3.02,1
Chelmon,Chaetodontidae,0.029753,2.988924,1
Cheiloprion,Pomacentridae,0.02239,2.99,1
Cheilodipterus,Apogonidae,0.007009,3.33301,1
Cheilodactylus,Cheilodactylidae,0.012711,3.016556,1
Cheilio,Labridae,0.003853,3.031108,1
Cheilinus,Labridae,0.019634,2.985886,1
Chasmodes,Blenniidae,0.00741,3,1
Chanos,Chanidae,0.00544,3.182459,1
Channomuraena,Muraenidae,0.00112,3.06,1
Chaetodontoplus,Pomacanthidae,0.0302,2.89,1
Chaetodon,Chaetodontidae,0.026662,3.009831,0.992012
Chaetodipterus,Ephippidae,0.034432,2.698278,1
Chaetodermis,Monocanthidae,0.02188,2.91,1
Chaenopsis,Chaenopsidae,0.00638,3.066667,1
Cetoscarus,Scaridae,0.0276,2.92,1
Cetengraulis,Engraulidae,0.004689,3.275969,1
Cephaloscyllium,Scyliorhinidae,0.00324,3.11,1
Cephalopholis,Serranidae,0.016475,3.035192,0.966674
Centropyge,Pomacanthidae,0.034715,2.856829,1
Centropomus,Centropomidae,0.014518,3.146781,0.988324
Caulolatilus,Malacanthidae,0.00537,3.03,1
Carcharodon,Lamnidae,0.007926,3.145644,1
Carcharias,Odontaspididae,0.0106,2.687,1
Carcharhinus,Carcharhinidae,0.00869,3.111218,0.992464
Carapus,Carapidae,0.001,3,1
Caranx,Carangidae,0.017336,2.969143,0.977017
Carangoides,Carangidae,0.02662,2.88211,0.988086
Caracanthus,Scorpaenidae,0.01995,3.01,1
Caprodon,Serranidae,0.00933,2.97,1
Canthigaster,Tetraodontidae,0.032071,2.277867,0.98701
Canthidermis,Balistidae,0.0718,2.713333,1
Cantheschenia,Monocanthidae,0.02188,2.91,1
Cantherhines,Monocanthidae,0.024187,2.917,1
Cantherhines,Monacanthidae,0.06225,2.608,1
Campichthys,Syngnathidae,0.00049,3.1,1
Calotomus,Scaridae,0.016245,3.100578,1
Calloplesiops,Plesiopidae,0.01995,3.01,1
Callogobius,Gobiidae,0.00891,3.07,1
Callionymus,Callionymidae,0.016215,2.9455,1
Calamus,Sparidae,0.043552,2.830122,0.964
Caesioscorpis,Serranidae,0.01202,3.02,1
Caesioperca,Serranidae,0.053565,2.8065,1
Caesio,Caesioinidae,0.015445,3.082985,0.9538
Butis,Eleotridae,0.011363,2.904196,1
Bulbonaricus,Syngnathidae,0.00049,3.1,1
Bryx,Syngnathidae,0.00049,3.1,1
Bryaninops,Gobiidae,0.00617,3.08,1
Brotula,Ophidiidae,0.00732,2.76,1
Brockius,Labrisomidae,0.0049,3.08,1
Brevoortia,Clupeidae,0.009994,3.119331,0.956
Brachaluteres,Monocanthidae,0.02188,2.91,1
Bovichtus,Bovichtidae,0.01,3.04,1
Bothus,Bothidae,0.011207,3.062821,1
Bolbometopon,Scaridae,0.01413,3.04,1
Bodianus,Labridae,0.011492,3.066948,0.994236
Blenniella,Blenniidae,0.00741,3,1
Bhanotia,Syngnathidae,0.00049,3.1,1
Belonoperca,Serranidae,0.00407,3.14,1
Batrachoides,Batrachoididae,0.010936,3.085352,1
Bathytoshia,Dasyatidae,0.007645,3.273,1
Bathygobius,Gobiidae,0.011886,3.039084,1
Balistoides,Balistidae,0.02506,2.97914,1
Balistes,Balistidae,0.02822,2.83345,1
Balistapus,Balistidae,0.0565,2.947,0.840689
Bairdiella,Sciaenidae,0.020902,2.977082,0.925
Bagre,Ariidae,0.01627,2.826,1
Azurina,Pomacentridae,0.01479,2.98,1
Axoclinus,Tripterygiidae,0.0055,3.08,1
Auxis,Scombridae,0.007457,3.218762,1
Austrolabrus,Labridae,0.01995,3.01,1
Aurigequula,Leiognathidae,0.013645,3.131159,1
Aulostomus,Aulostomidae,0.002344,3.388585,1
Aulohalaelurus,Scyliorhinidae,0.00324,3.11,1
Aulacocephalus,Serranidae,0.01122,3.06,1
Atypichthys,Kyphosidae,0.02291,2.99,1
Atule,Carangidae,0.01229,3.034095,1
Atrosalarias,Blenniidae,0.01491,3.01786,1
Atherinomorus,Atherinidae,0.011106,3.193979,0.975595
Atherinella,Atherinopsidae,0.005122,3.04756,1
Astroscopus,Uranoscopidae,0.00447,3.14,1
Astrapogon,Apogonidae,0.01398,3.08,1
Asterropteryx,Gobiidae,0.009383,3.053333,1
Asterorhombus,Bothidae,0.007905,3.247,1
Assessor,Plesiopidae,0.012716,2.852929,1
Aspistor,Ariidae,0.0164,2.93,1
Aspidontus,Blenniidae,0.00537,3.05,1
Arripis,Arripidae,0.00955,3.01,1
Arothron,Tetraodontidae,0.039653,2.832535,1
Arnoglossus,Bothidae,0.01047,3,1
Ariopsis,Ariidae,0.00208,3.447,1
Archosargus,Sparidae,0.01603,3.047469,1
Aracana,Aracanidae,0.01995,3.01,1
Apterygocampus,Syngnathidae,0.00049,3.1,1
Aprion,Lutjanidae,0.012092,3.021243,1
Aporops,Serranidae,0.01122,3.06,1
Apolemichthys,Pomacanthidae,0.0302,2.89,1
Apogon,Apogonidae,0.011591,3.096,0.993977
Aplodactylus,Aplodactylidae,0.004873,3.155667,1
Aphareus,Lutjanidae,0.01862,2.9155,0.934405
Apeltes,Gasterosteidae,0.01047,3.07,1
Anyperodon,Serranidae,0.002316,3.436084,1
Anthias,Serranidae,0.00933,2.97,1
Antennarius,Antennariidae,0.01995,3.01,1
Anoplocapros,Aracanidae,0.01995,3.01,1
Anodontostoma,Clupeidae,0.014082,2.98846,1
Anisotremus,Haemulidae,0.019294,3.060429,0.98
Anguilla,Anguillidae,0.0006,3.352512,1
Anchoviella,Engraulidae,0.003818,3.271304,1
Anchovia,Engraulidae,0.005375,3.159711,1
Anchoa,Engraulidae,0.007175,3.0971,1
Anchichoerops,Labridae,0.00977,3.05,1
Anampses,Labridae,0.010829,3.055833,1
Anacanthus,Monocanthidae,0.00603,3.07,1
Amphiprion,Pomacentridae,0.019367,3.010325,1
Amphichaetodon,Chaetodontidae,0.02188,3.02,1
Amphiarius,Ariidae,0.00488,3.3,1
Ammolabrus,Labridae,0.00776,3.01,1
Amblyrhynchotes,Tetraodontidae,0.0497,2.97,0.810373
Amblypomacentrus,Pomacentridae,0.01479,2.98,1
Amblygobius,Gobiidae,0.010256,3.024714,1
Amblyglyphidodon,Pomacentridae,0.022191,3.004282,1
Amblygaster,Clupeidae,0.00342,3.18,1
Amblyeleotris,Gobiidae,0.00617,3.08,1
Amblycirrhitus,Cirrhitidae,0.00257,3.427,1
Ambassis,Ambassidae,0.01298,2.955574,1
Amanses,Monocanthidae,0.02188,2.91,1
Aluterus,Monocanthidae,0.419456,2.365326,1
Aluterus,Monacanthidae,0.0927,2.344,1
Altrichthys,Pomacentridae,0.02239,2.99,1
Alphestes,Serranidae,0.01148,3.05,1
Alosa,Clupeidae,0.009267,3.035973,1
Alloblennius,Blenniidae,0.00741,3,1
Alepes,Carangidae,0.018544,2.991748,0.9627
Alectis,Carangidae,0.031365,2.756069,1
Albula,Albulidae,0.01052,2.98721,1
Aioliops,Gobiidae,0.00389,3.12,1
Aetobatus,Myliobatidae,0.012773,3.130974,1
Aethaloperca,Serranidae,0.01148,3.05,1
Aeoliscus,Centriscidae,0.00389,3.12,1
Acyrtops,Gobiesocidae,0.0055,3.11,1
Acreichthys,Monocanthidae,0.01644,3.076,1
Acipenser,Acipenseridae,0.00497,3.2513,1
Achoerodus,Labridae,0.018975,3.01705,1
Achirus,Achiridae,0.018919,3.035242,1
Acentronura,Syngnathidae,0.00389,3.12,1
Acentrogobius,Gobiidae,0.00891,3.07,1
Acanthurus,Acanthuridae,0.022969,2.965906,0.9977
Acanthostracion,Ostraciidae,0.083786,2.811213,1
Acanthopagrus,Sparidae,0.016947,3.025318,1
Acanthocybium,Scombridae,0.002526,3.269807,1
Acanthochromis,Pomacentridae,0.0429,3.045,0.667
Acanthistius,Serranidae,0.025298,2.9145,1
Acanthemblemaria,Chaenopsidae,0.00457,3.08,1
Acanthaluteres,Monocanthidae,0.02188,2.91,1
Abudefduf,Pomacentridae,0.024357,3.029689,0.987705
Ablennes,Belonidae,0.00036,3.322,0.968054
Abalistes,Balistidae,0.038977,2.799909,1