Reef,Site,Day_no,Dive_no,Date,Transect,Lat,Long,Depth,Temperature,Habitat,Aspect,Benthic_Complexity,Trash,Cucumbers,Notes
Saumarez,Saumarez_S1,1,1,6/2/2021,1,-21.912222,153.609167,29.6,27.9,lagoon,flat,1,none,,
Saumarez,Saumarez_S1,1,1,6/2/2021,2,-21.912222,153.609167,29.6,27.8,lagoon,flat,1,none,,
Saumarez,Saumarez_S1,1,1,6/2/2021,3,-21.912222,153.609167,29.8,27.8,lagoon,flat,1,none,,
Saumarez,Saumarez_S1,1,1,6/2/2021,4,-21.912222,153.609167,29.6,27.8,lagoon,flat,0,none,,
Saumarez,Saumarez_S1,1,1,6/2/2021,5,-21.912222,153.609167,29.5,27.8,lagoon,flat,1,none,,
Saumarez,Saumarez_S1,1,1,6/2/2021,6,-21.912222,153.609167,29.9,27.8,lagoon,flat,1,none,,
Wreck,Wreck_E1,1,1,7/2/2021,1,-22.19906,155.32938,31.5,27.7,outer_reef,gentle_slope,3,none,,
Wreck,Wreck_E1,1,1,7/2/2021,2,-22.19906,155.32938,36.5,27.6,outer_reef,gentle_slope,3,none,,
Wreck,Wreck_E1,1,1,7/2/2021,3,-22.19906,155.32938,36.3,27.6,outer_reef,gentle_slope,3,none,,
Kenn,Kenn_1,1,1,8/2/2021,1,-21.21291,155.78185,40.8,26.3,outer_reef,steep_slope,4,none,,
Kenn,Kenn_1,1,1,8/2/2021,2,-21.21291,155.78185,31.1,26.5,outer_reef,steep_slope,4,none,,
Kenn,Kenn_1,1,1,8/2/2021,3,-21.21291,155.78185,31.4,26.4,slope_terrace,gentle_slope,3,none,,
Kenn,Kenn_1,1,1,8/2/2021,4,-21.21291,155.78185,32.3,26.4,slope_terrace,gentle_slope,3,none,,
Frederick,Fred_W1,1,1,9/2/2021,1,-21.01225,154.34671,34.8,28,slope_terrace,gentle_slope,1,fishing_line,,"Fishing line at start, pedina habitat, sandy terrace"
Frederick,Fred_W1,1,1,9/2/2021,2,-21.01225,154.34671,40,27.5,slope_terrace,flat,1,fishing_line,,"Fishing line at start, pedina habitat, sandy terrace"
Marion,Marion_1,1,1,10/2/2021,1,-19.12206,152.37332,33.9,27.5,lagoon,flat,2,none,,"Patch bommies, sand"
Marion,Marion_1,1,1,10/2/2021,2,-19.12206,152.37332,34.5,27.3,lagoon,flat,0,none,,"sand, no fish"
Marion,Marion_1,1,1,10/2/2021,3,-19.12206,152.37332,34.7,27.3,lagoon,flat,0,none,,"sand, one fish"
Marion,Marion_1,1,1,10/2/2021,4,-19.12206,152.37332,35,27.3,lagoon,flat,0,none,,sand
Marion,Marion_1,1,1,10/2/2021,5,-19.12206,152.37332,34.9,27.3,lagoon,flat,1,none,,"Sand, some patch bommies"
Marion,Marion_1,1,1,10/2/2021,6,-19.12206,152.37332,35,27.3,lagoon,flat,1,fishing_line,,"Sand, some patch bommies"
Marion,Marion_1,1,1,10/2/2021,7,-19.12206,152.37332,34.9,27.2,lagoon,flat,1,none,,"Sand, some patch bommies"
Marion,Marion_1,1,1,10/2/2021,8,-19.12206,152.37332,35.1,27.3,lagoon,flat,0,none,,"Sand, some patch bommies"
Lihou,Lihou_S1,1,1,11/2/2021,1,-17.40091,151.87454,46.2,28.8,lagoon,flat,1,none,,"Sand, some patch bommies, bad viz , very green"
Lihou,Lihou_S1,1,1,11/2/2021,2,-17.40091,151.87454,46.6,28.8,lagoon,flat,1,none,,Sand
Lihou,Lihou_S1,1,1,11/2/2021,3,-17.40091,151.87454,47.3,28.8,lagoon,flat,0,none,,"Sand, no fish"
Lihou,Lihou_S1,1,2,11/2/2021,4,-17.40091,151.87669,47.1,28.8,lagoon,flat,0,none,,"Sand, some algae bommies"
Lihou,Lihou_S1,1,2,11/2/2021,5,-17.40091,151.87669,46.4,28.8,lagoon,flat,1,none,,"Sand, some algae bommies"
Lihou,Lihou_S1,1,2,11/2/2021,6,-17.40091,151.87669,48.1,28.8,lagoon,flat,0,none,,"Sand, no fish"
Lihou,Lihou_S1,1,2,11/2/2021,7,-17.40091,151.87669,47.7,28.8,lagoon,flat,1,none,,"Sand, some algae bommies"
Lihou,Lihou_S1,1,2,11/2/2021,8,-17.40091,151.87669,47.9,28.8,lagoon,flat,1,none,,"Sand, some algae bommies"
Lihou,Lihou_S1,1,2,11/2/2021,9,-17.40091,151.87669,48.9,28,lagoon,flat,0,none,,"Sand, some algae bommies"
Lihou,Lihou_S1,1,2,11/2/2021,10,-17.40091,151.87669,48.8,28,lagoon,flat,0,none,,No fish seen
Lihou,Lihou_N1,1,1,12/2/2021,1,-17.11619,151.83479,45.1,27.7,lagoon,flat,2,none,,
Lihou,Lihou_N1,1,1,12/2/2021,2,-17.11619,151.83479,31.2,28.3,lagoon,flat,1,none,,
Lihou,Lihou_N1,1,1,12/2/2021,3,-17.11619,151.83479,30.8,28.3,lagoon,flat,2,none,,
Lihou,Lihou_N1,1,1,12/2/2021,4,-17.11619,151.83479,33,28.3,lagoon,flat,2,none,,Cucumber
Lihou,Lihou_N1,1,1,12/2/2021,5,-17.11619,151.83479,31.7,28,lagoon,flat,2,none,,
Lihou,Lihou_N1,1,1,12/2/2021,6,-17.11619,151.83479,32.5,28,passage,flat,2,none,,Lagoon entrance to slope
Lihou,Lihou_N1,1,1,12/2/2021,7,-17.11619,151.83479,36.5,27.6,passage,flat,3,none,,Ends at the channel
Lihou,Lihou_N1,1,1,12/2/2021,8,-17.11619,151.83479,40,27.4,outer_reef,gentle_slope,3,none,,
Lihou,Lihou_N1,1,1,12/2/2021,9,-17.11619,151.83479,44.8,27.7,outer_reef,gentle_slope,2,none,,
Lihou,Lihou_N1,1,2,12/2/2021,10,-17.11619,151.83479,50.1,25.3,outer_reef,steep_slope,1,none,,
Lihou,Lihou_N1,1,2,12/2/2021,11,-17.11619,151.83479,50.1,25.7,outer_reef,steep_slope,3,none,,
Lihou,Lihou_N1,1,3,12/2/2021,12,-17.11619,151.83479,55.6,27.9,outer_reef,steep_slope,4,none,,
Lihou,Lihou_N1,1,3,12/2/2021,13,-17.11619,151.83479,55.2,28,outer_reef,steep_slope,3,none,,
Chilcott,Chilcott_1,1,1,13/2/2021,1,-16.92334,149.99654,36.5,28.3,lagoon,flat,1,none,,Cucumber
Chilcott,Chilcott_1,1,1,13/2/2021,2,-16.92334,149.99654,37.8,28,lagoon,flat,0,none,,
Chilcott,Chilcott_1,1,1,13/2/2021,3,-16.92334,149.99654,39.8,27.9,lagoon,flat,0,none,,
Chilcott,Chilcott_1,1,1,13/2/2021,4,-16.92334,149.99654,40,27.9,lagoon,flat,0,none,,
Willis Island,Willis_N1,1,1,14/2/2021,1,-16.92334,149.96951,35.2,28,outer_reef,gentle_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,2,-16.92334,149.96951,42.3,27.6,outer_reef,gentle_slope,4,none,,
Willis Island,Willis_N1,1,1,14/2/2021,3,-16.92334,149.96951,44.4,27.7,outer_reef,gentle_slope,4,none,,
Willis Island,Willis_N1,1,1,14/2/2021,4,-16.92334,149.96951,51.5,27.7,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,5,-16.92334,149.96951,52.3,27.2,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,6,-16.92334,149.96951,52.3,27.2,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,7,-16.92334,149.96951,60.1,26.9,outer_reef,steep_slope,1,none,,
Willis Island,Willis_N1,1,1,14/2/2021,8,-16.92334,149.96951,44.8,27.1,outer_reef,steep_slope,2,none,,
Willis Island,Willis_N1,1,1,14/2/2021,9,-16.92334,149.96951,44.1,27.2,outer_reef,steep_slope,2,none,,
Willis Island,Willis_N1,1,1,14/2/2021,10,-16.92334,149.96951,50.4,27.2,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,11,-16.92334,149.96951,50.1,27.2,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,12,-16.92334,149.96951,40,27.3,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,13,-16.92334,149.96951,43,27.4,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,14,-16.92334,149.96951,42,27.8,outer_reef,steep_slope,3,none,,
Willis Island,Willis_N1,1,1,14/2/2021,15,-16.92334,149.96951,42,27.8,outer_reef,steep_slope,3,none,,
Herald Cay,Herald_1,1,1,15/2/2021,1,-16.9711,149.12769,34.3,29.9,passage,flat,3,none,,Channel
Herald Cay,Herald_1,1,1,15/2/2021,2,-16.9711,149.12769,35.3,29.8,passage,flat,2,none,,
Herald Cay,Herald_1,1,1,15/2/2021,3,-16.9711,149.12769,37.6,29.4,passage,flat,1,none,,
Herald Cay,Herald_1,1,1,15/2/2021,4,-16.9711,149.12769,43.5,29.2,slope_terrace,gentle_slope,2,none,,
Herald Cay,Herald_1,1,1,15/2/2021,5,-16.9711,149.12769,43.8,29,slope_terrace,gentle_slope,2,none,,
Herald Cay,Herald_1,1,1,15/2/2021,6,-16.9711,149.12769,41.7,29.1,slope_terrace,gentle_slope,2,none,,
Herald Cay,Herald_1,1,1,15/2/2021,7,-16.9711,149.12769,40.5,29.1,slope_terrace,gentle_slope,2,none,,
Herald Cay,Herald_1,1,1,15/2/2021,8,-16.9711,149.12769,40.4,29.2,slope_terrace,gentle_slope,2,none,,
Herald Cay,Herald_1,1,1,15/2/2021,9,-16.9711,149.12769,37.1,29.3,slope_terrace,gentle_slope,3,none,,
Flinders,Flinders_S1,1,1,16/2/2021,1,-17.86224,148.46677,35.6,29.2,outer_reef,steep_slope,4,none,,
Flinders,Flinders_S1,1,1,16/2/2021,2,-17.86224,148.46677,37.1,29.2,outer_reef,wall,4,none,,
Flinders,Flinders_S1,1,1,16/2/2021,3,-17.86224,148.46677,42.1,29.2,outer_reef,wall,3,fishing_line,,Fishing line
Flinders,Flinders_S1,1,1,16/2/2021,4,-17.86224,148.46677,35.2,29.3,outer_reef,wall,3,none,,
Flinders,Flinders_S1,1,1,16/2/2021,5,-17.86224,148.46677,45.4,29.2,outer_reef,wall,3,none,,Good stable transect example
Flinders,Flinders_S1,1,2,16/2/2021,6,-17.86224,148.46677,34.3,29.2,outer_reef,steep_slope,3,none,,
Flinders,Flinders_S1,1,2,16/2/2021,7,-17.86224,148.46677,45.2,29.2,outer_reef,wall,4,none,,
Flinders,Flinders_N1,1,1,18/2/2021,1,-17.86224,148.54848,42.1,29.3,lagoon,flat,0,none,,"Trigger nests, sandy"
Flinders,Flinders_N1,1,1,18/2/2021,2,-17.86224,148.54848,40.2,29.2,lagoon,flat,1,none,,
Flinders,Flinders_N1,1,1,18/2/2021,3,-17.86224,148.54848,40,29.2,lagoon,flat,0,none,,"Sand, some bommies"
Flinders,Flinders_N1,1,1,18/2/2021,4,-17.86224,148.54848,40,29.2,lagoon,flat,0,none,,
Flinders,Flinders_N1,1,1,18/2/2021,5,-17.86224,148.54848,41.5,29.2,lagoon,flat,0,none,,"Sand, some bommies"
Flinders,Flinders_N1,1,1,18/2/2021,6,-17.86224,148.54848,43.3,29.2,lagoon,flat,0,none,,
Flinders,Flinders_N1,1,1,18/2/2021,7,-17.86224,148.54848,44,29.1,lagoon,flat,1,none,,"Sand, some bommies"
Holmes,Holmes_2,2,1,21/2/2021,1,-16.42536,147.98399,62.7,27.1,outer_reef,steep_slope,3,none,,
Holmes,Holmes_2,2,1,21/2/2021,2,-16.42536,147.98399,63.7,26.3,outer_reef,steep_slope,3,none,,
Holmes,Holmes_2,2,1,21/2/2021,3,-16.42536,147.98399,64.2,26.6,outer_reef,steep_slope,4,none,,
Holmes,Holmes_2,2,1,21/2/2021,4,-16.42536,147.98399,63.2,26.5,outer_reef,steep_slope,4,none,,
Holmes,Holmes_2,2,1,21/2/2021,5,-16.42536,147.98399,63.1,26.4,outer_reef,steep_slope,3,none,,
Holmes,Holmes_2,2,1,21/2/2021,6,-16.42536,147.98399,56.6,26.7,outer_reef,steep_slope,3,none,,
Holmes,Holmes_2,2,1,21/2/2021,7,-16.42536,147.98399,54.5,26.8,outer_reef,steep_slope,4,none,,
Holmes,Holmes_2,2,1,21/2/2021,8,-16.42536,147.98399,46.6,26.9,outer_reef,wall,4,none,,
Holmes,Holmes_2,2,1,21/2/2021,9,-16.42536,147.98399,45,27,outer_reef,wall,4,none,,
Holmes,Holmes_2,2,1,21/2/2021,10,-16.42536,147.98399,37,28,outer_reef,gentle_slope,2,none,,
Holmes,Holmes_2,2,1,21/2/2021,11,-16.42536,147.98399,35,28.4,slope_terrace,gentle_slope,2,none,,Pedina dominated
Holmes,Holmes_2,2,1,21/2/2021,12,-16.42536,147.98399,31.2,29.2,slope_terrace,gentle_slope,2,none,,
Holmes,Holmes_2,2,1,21/2/2021,13,-16.42536,147.98399,28,29.4,slope_terrace,gentle_slope,2,none,,
Bougainville,BVille_1,1,1,22/2/2021,1,-15.48724,147.09035,65,27.5,outer_reef,steep_slope,5,fishing_line,,Good example of lots of fishing line
Bougainville,BVille_1,1,1,22/2/2021,2,-15.48724,147.09035,66.7,27.5,outer_reef,wall,5,none,,
Bougainville,BVille_1,1,1,22/2/2021,3,-15.48724,147.09035,66.3,27.5,outer_reef,wall,5,none,,Dipped down to 80m to check temp 27.1
Bougainville,BVille_1,1,1,22/2/2021,4,-15.48724,147.09035,67.8,27.5,outer_reef,wall,5,none,,
Bougainville,BVille_1,1,1,22/2/2021,5,-15.48724,147.09035,67.3,27.8,outer_reef,steep_slope,5,none,,
Bougainville,BVille_1,1,1,22/2/2021,6,-15.48724,147.09035,58.1,27.9,outer_reef,steep_slope,4,none,,
Bougainville,BVille_1,1,1,22/2/2021,7,-15.48724,147.09035,57.8,28,outer_reef,steep_slope,5,none,,Very good fishy example steady transect
Bougainville,BVille_1,1,1,22/2/2021,8,-15.48724,147.09035,57.2,28,outer_reef,steep_slope,5,none,,Good demo transect
Bougainville,BVille_1,1,1,22/2/2021,9,-15.48724,147.09035,57.4,28,outer_reef,steep_slope,5,none,,
Bougainville,BVille_1,1,1,22/2/2021,10,-15.48724,147.09035,54.7,28,outer_reef,steep_slope,5,none,,
Bougainville,BVille_1,1,1,22/2/2021,11,-15.48724,147.09035,47.4,28,outer_reef,wall,5,fishing_line,,
Bougainville,BVille_1,1,1,22/2/2021,12,-15.48724,147.09035,45.5,28.1,outer_reef,steep_slope,5,fishing_line,,
Bougainville,BVille_1,1,1,22/2/2021,13,-15.48724,147.09035,45,28.1,outer_reef,wall,4,fishing_line,,
Bougainville,BVille_1,1,1,22/2/2021,14,-15.48724,147.09035,43.7,28.3,outer_reef,steep_slope,5,fishing_line,,
Bougainville,BVille_1,1,1,22/2/2021,15,-15.48724,147.09035,38.6,28.6,outer_reef,wall,4,fishing_line,,
Bougainville,BVille_1,1,1,22/2/2021,16,-15.48724,147.09035,36.4,28.9,outer_reef,wall,5,fishing_line,,
Bougainville,BVille_1,1,1,22/2/2021,17,-15.48724,147.09035,35.1,28.9,outer_reef,wall,5,none,,
Bougainville,BVille_1,1,1,22/2/2021,18,-15.48724,147.09035,28.5,29.1,outer_reef,wall,4,fishing_line,,Generally less coral cover
Bougainville,BVille_1,1,1,22/2/2021,19,-15.48724,147.09035,22.3,29.2,outer_reef,wall,3,none,,Generally less coral cover
Osprey,Osp_N1,2,3,24/2/2021,1,-13.8007,146.55257,97.2,25.6,outer_reef,wall,5,none,,E.tukula nice wall
Osprey,Osp_N1,2,3,24/2/2021,2,-13.8007,146.55257,87.6,25.4,outer_reef,wall,5,none,,Good demo transect
Osprey,Osp_N1,2,3,24/2/2021,3,-13.8007,146.55257,94.1,25.2,outer_reef,wall,4,fishing_line,,
Osprey,Osp_N1,2,3,24/2/2021,4,-13.8007,146.55257,90.6,25.4,outer_reef,wall,3,none,,
Osprey,Osp_N1,2,3,24/2/2021,5,-13.8007,146.55257,84,26,outer_reef,wall,3,none,,Transect restarted
Osprey,Osp_N1,2,3,24/2/2021,6,-13.8007,146.55257,80.6,26.1,outer_reef,steep_slope,4,none,,
Osprey,Osp_N1,2,3,24/2/2021,7,-13.8007,146.55257,71.6,26.3,outer_reef,steep_slope,5,none,,
Osprey,Osp_N1,2,3,24/2/2021,8,-13.8007,146.55257,74.4,26.3,outer_reef,steep_slope,4,none,,
Osprey,Osp_N1,2,3,24/2/2021,9,-13.8007,146.55257,77.2,26.1,outer_reef,steep_slope,4,fishing_line,,
Osprey,Osp_N1,2,3,24/2/2021,10,-13.8007,146.55257,68,26.3,outer_reef,steep_slope,4,fishing_line,,
Osprey,Osp_N1,2,3,24/2/2021,11,-13.8007,146.55257,64.2,26.4,outer_reef,steep_slope,4,none,,
Osprey,Osp_N1,2,3,24/2/2021,12,-13.8007,146.55257,61.4,26.6,outer_reef,steep_slope,4,none,,
Osprey,Osp_N1,2,3,24/2/2021,13,-13.8007,146.55257,52.3,27.3,outer_reef,steep_slope,5,none,,
Osprey,Osp_N1,2,3,24/2/2021,14,-13.8007,146.55257,54.6,27.1,outer_reef,wall,3,none,,
Osprey,Osp_N1,2,3,24/2/2021,15,-13.8007,146.55257,59.8,26.7,outer_reef,wall,4,none,,cool sleeping shark on ledge
Herald's Surprise,HerSurp_1,1,1,26/2/2022,1,-17.33076,148.478,61.3,27.4,outer_reef,steep_slope,4,none,,
Herald's Surprise,HerSurp_1,1,1,26/2/2022,2,-17.33076,148.478,55.5,27.4,outer_reef,steep_slope,5,none,,
Herald's Surprise,HerSurp_1,1,1,26/2/2022,3,-17.33076,148.478,47.6,27.5,outer_reef,steep_slope,4,none,,
Herald's Surprise,HerSurp_1,1,1,26/2/2022,4,-17.33076,148.478,39.6,27.5,outer_reef,steep_slope,4,none,,
Herald's Surprise,HerSurp_1,1,1,26/2/2022,5,-17.33076,148.478,28.4,27.5,outer_reef,gentle_slope,4,none,,
Herald's Surprise,HerSurp_1,1,1,26/2/2022,6,-17.33076,148.478,18.6,28.8,outer_reef,moderate_slope,3,none,,
Herald's Surprise,HerSurp_1,1,1,26/2/2022,7,-17.33076,148.478,13.7,28.8,outer_reef,steep_slope,2,none,,
Herald's Surprise,HerSurp_1,1,1,26/2/2022,8,-17.33076,148.478,9.6,28.8,outer_reef,steep_slope,2,none,,
Lihou,JulCay_1,1,1,24/7/2021,1,-17.383569,151.479055,98,25.5,outer_reef,steep_slope,4,none,,
Lihou,JulCay_1,1,1,24/7/2021,2,-17.383569,151.479055,80,25.5,outer_reef,moderate_slope,4,none,,
Lihou,JulCay_1,1,2,24/7/2021,3,-17.383569,151.479055,68,25.6,outer_reef,flat,3,none,,
Lihou,JulCay_1,1,2,24/7/2021,4,-17.383569,151.479055,59,25.4,outer_reef,gentle_slope,2,none,,
Lihou,JulCay_1,1,2,24/7/2021,5,-17.383569,151.479055,70,25.5,outer_reef,gentle_slope,1,none,,
Lihou,JulCay_1,1,2,24/7/2021,6,-17.383569,151.479055,49.3,25.4,outer_reef,gentle_slope,1,none,yes,
Lihou,JulCay_1,1,3,24/7/2021,7,-17.383569,151.479055,34.9,25.5,outer_reef,gentle_slope,3,none,,
Lihou,JulCay_1,1,3,24/7/2021,8,-17.383569,151.479055,28,25.3,outer_reef,gentle_slope,3,none,,
Lihou,EdnaCay_1,1,1,18/7/2021,1,-17.58730507,151.6020966,96,25.9,outer_reef,moderate_slope,4,none,,
Lihou,EdnaCay_1,1,1,18/7/2021,2,-17.58730507,151.6020966,86,25.7,outer_reef,moderate_slope,5,none,,
Lihou,EdnaCay_1,1,1,18/7/2021,3,-17.58730507,151.6020966,79,25.7,outer_reef,moderate_slope,5,none,,
Lihou,EdnaCay_1,1,1,18/7/2021,4,-17.58730507,151.6020966,69,25.6,outer_reef,moderate_slope,1,none,,
Lihou,EdnaCay_1,1,1,18/7/2021,5,-17.58730507,151.6020966,63,25.6,outer_reef,gentle_slope,1,none,,
Lihou,EdnaCay_2,1,2,18/7/2021,1,-17.58360672,151.6024628,51.3,25.6,outer_reef,gentle_slope,1,none,,
Lihou,EdnaCay_2,1,2,18/7/2021,2,-17.58360672,151.6024628,48,25.5,outer_reef,moderate_slope,3,fishing_line,,
Lihou,EdnaCay_2,1,2,18/7/2021,3,-17.58360672,151.6024628,39,25.5,outer_reef,moderate_slope,4,none,,
Lihou,EdnaCay_3,1,3,18/7/2021,1,-17.58265686,151.602356,26.7,25.5,outer_reef,gentle_slope,3,none,,
Lihou,EdnaCay_3,1,3,18/7/2021,2,-17.58265686,151.602356,19.1,25.4,outer_reef,flat,3,none,,
Lihou,EdnaCay_3,1,3,18/7/2021,3,-17.58265686,151.602356,14,25.3,outer_reef,gentle_slope,3,none,,
Lihou,EdnaCay_3,1,3,18/7/2021,4,-17.58265686,151.602356,9.8,25.3,outer_reef,flat,1,none,,